Count,Round,Site,Phyla
22,2,8,cryptophyta 
5,2,8,bacillariophyta
46,2,8,ochrophyta
33,2,8,bacillariophyta
16,2,8,chlorophyta
548,2,8,cryptophyta 
27,2,8,bacillariophyta
16,2,8,chlorophyta
33,2,8,bacillariophyta
123,2,8,bacillariophyta
14,2,8,bacillariophyta
3,2,8,euglenophyta
5,2,8,bacillariophyta
3,2,8,bacillariophyta
27,2,8,bacillariophyta
16,2,8,chlorophyta
3,2,14,cryptophyta 
349,2,14,ochrophyta
18,2,14,bacillariophyta
12,2,14,chlorophyta
278,2,14,cryptophyta 
18,2,14,bacillariophyta
18,2,14,bacillariophyta
111,2,14,bacillariophyta
32,2,14,bacillariophyta
94,2,14,bacillariophyta
9,2,14,euglenophyta
14,3,8,cryptophyta 
52,3,8,ochrophyta
110,3,8,bacillariophyta
7,3,8,chlorophyta
428,3,8,cryptophyta 
7,3,8,bacillariophyta
286,3,8,bacillariophyta
28,3,8,bacillariophyta
135,3,8,bacillariophyta
3,3,8,euglenophyta
8,3,14,cryptophyta 
52,3,14,ochrophyta
19,3,14,bacillariophyta
14,3,14,chlorophyta
158,3,14,cryptophyta 
19,3,14,bacillariophyta
14,3,14,bacillariophyta
125,3,14,bacillariophyta
79,3,14,bacillariophyta
3,3,14,euglenophyta
5,4,8,cryptophyta 
16,4,8,ochrophyta
63,4,8,bacillariophyta
139,4,8,cryptophyta 
11,4,8,chlorophyta
27,4,8,bacillariophyta
112,4,8,bacillariophyta
30,4,8,bacillariophyta
3,4,8,bacillariophyta
3,4,8,bacillariophyta
65,4,14,ochrophyta
16,4,14,chlorophyta
123,4,14,cryptophyta 
57,4,14,cyanophyta
82,4,14,cyanophyta
49,4,14,chlorophyta
11,4,14,chlorophyta
3,4,14,mioza 
3,4,14,bacillariophyta
46,4,14,bacillariophyta
3,4,14,euglenophyta
35,4,14,bacillariophyta
8,4,14,ochrophyta
19,4,14,euglenophyta
3,4,14,bacillariophyta
49,5,8,ochrophyta
14,5,8,bacillariophyta
33,5,8,chlorophyta
46,5,8,cryptophyta 
60,5,8,cyanobacteria
3,5,8,chlorophyta
19,5,8,bacillariophyta
3,5,8,mioza 
74,5,8,bacillariophyta
5,5,8,bacillariophyta
5,5,8,ochrophyta
5,5,8,euglenophyta
8,5,8,bacillariophyta
11,5,8,bacillariophyta
104,5,8,ochrophyta
11,5,14,bacillariophyta
46,5,14,chlorophyta
79,5,14,cryptophyta 
5,5,14,mioza 
3,5,14,chlorophyta
1526,5,14,cyanobacteria
25,5,14,bacillariophyta
11,5,14,bacillariophyta
8,5,14,euglenophyta
19,6,10,bacillariophyta
39,6,10,bacillariophyta
370,6,10,chlorophyta
292,6,10,cryptophyta 
78,6,10,chlorophyta
97,6,10,bacillariophyta
117,6,10,ochrophyta
8,6,14,bacillariophyta
18,6,14,chlorophyta
44,6,14,cryptophyta 
5,6,14,bacillariophyta
29,6,14,chlorophyta
428,6,14,cyanobacteria
13,6,8,cryptophyta 
13,6,8,bacillariophyta
5,6,8,bacillariophyta
18,6,8,chlorophyta
106,6,8,cryptophyta 
31,6,8,chlorophyta
5,6,8,chlorophyta
3,6,8,mioza 
3,6,8,bacillariophyta
